
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,544 K
Secure System                  140 Services                   0     32,240 K
Registry                       184 Services                   0     30,152 K
smss.exe                       700 Services                   0      1,532 K
csrss.exe                      824 Services                   0      6,744 K
wininit.exe                   1044 Services                   0      9,776 K
services.exe                  1192 Services                   0     11,052 K
LsaIso.exe                    1212 Services                   0      3,872 K
lsass.exe                     1220 Services                   0     30,784 K
svchost.exe                   1380 Services                   0     44,012 K
WUDFHost.exe                  1400 Services                   0      6,992 K
fontdrvhost.exe               1436 Services                   0      4,432 K
svchost.exe                   1548 Services                   0     24,792 K
WUDFHost.exe                  1608 Services                   0     21,396 K
svchost.exe                   1648 Services                   0     11,808 K
svchost.exe                   1808 Services                   0      6,700 K
svchost.exe                   1836 Services                   0      9,444 K
svchost.exe                   1872 Services                   0     17,068 K
svchost.exe                   1904 Services                   0      8,036 K
svchost.exe                   1920 Services                   0     15,352 K
svchost.exe                    672 Services                   0     13,672 K
svchost.exe                   1284 Services                   0     27,080 K
svchost.exe                    684 Services                   0     14,656 K
svchost.exe                   2056 Services                   0     17,016 K
IntelCpHDCPSvc.exe            2096 Services                   0      9,624 K
svchost.exe                   2112 Services                   0     11,136 K
svchost.exe                   2176 Services                   0     10,248 K
svchost.exe                   2184 Services                   0     14,320 K
svchost.exe                   2256 Services                   0      8,640 K
IntelCpHeciSvc.exe            2408 Services                   0      9,264 K
svchost.exe                   2424 Services                   0     22,148 K
svchost.exe                   2452 Services                   0     13,716 K
svchost.exe                   2512 Services                   0     11,616 K
igfxCUIService.exe            2736 Services                   0     12,216 K
svchost.exe                   2760 Services                   0     11,596 K
svchost.exe                   2808 Services                   0     22,288 K
vmms.exe                      3008 Services                   0     37,080 K
svchost.exe                   3036 Services                   0     12,512 K
svchost.exe                   3116 Services                   0     20,204 K
svchost.exe                   3136 Services                   0     10,224 K
ETDService.exe                3200 Services                   0      9,156 K
svchost.exe                   3212 Services                   0      7,428 K
svchost.exe                   3220 Services                   0     18,840 K
svchost.exe                   3264 Services                   0      9,184 K
svchost.exe                   3276 Services                   0     13,760 K
svchost.exe                   3340 Services                   0     11,200 K
svchost.exe                   3348 Services                   0     10,752 K
Memory Compression            3360 Services                   0   5,40,116 K
svchost.exe                   3480 Services                   0     10,408 K
svchost.exe                   3620 Services                   0      8,916 K
svchost.exe                   3632 Services                   0     19,604 K
svchost.exe                   3684 Services                   0     10,844 K
svchost.exe                   3804 Services                   0     12,404 K
svchost.exe                   3816 Services                   0     20,880 K
svchost.exe                   3828 Services                   0     13,360 K
svchost.exe                   4060 Services                   0     22,872 K
svchost.exe                   3400 Services                   0     18,328 K
spoolsv.exe                   4100 Services                   0     30,088 K
svchost.exe                   4184 Services                   0     13,048 K
svchost.exe                   4200 Services                   0      9,832 K
HidMonitorSvc.exe             4292 Services                   0      8,060 K
DAX3API.exe                   4300 Services                   0     14,692 K
svchost.exe                   4312 Services                   0     58,696 K
svchost.exe                   4320 Services                   0     40,516 K
svchost.exe                   4340 Services                   0     27,088 K
FMService64.exe               4352 Services                   0      9,824 K
ibmpmsvc.exe                  4360 Services                   0      7,576 K
OneApp.IGCC.WinService.ex     4368 Services                   0     43,140 K
EvtEng.exe                    4392 Services                   0     16,656 K
jhi_service.exe               4412 Services                   0      8,396 K
svchost.exe                   4416 Services                   0     14,544 K
LITSSvc.exe                   4532 Services                   0     13,820 K
EasyResume.exe                4572 Services                   0     10,300 K
esif_uf.exe                   4596 Services                   0      8,084 K
svchost.exe                   4624 Services                   0     12,072 K
RegSrvc.exe                   4652 Services                   0     12,488 K
svchost.exe                   4660 Services                   0      8,644 K
MpDefenderCoreService.exe     4716 Services                   0     26,520 K
RtkAudUService64.exe          4756 Services                   0     17,036 K
vmcompute.exe                 4768 Services                   0     12,636 K
svchost.exe                   4808 Services                   0      6,848 K
WMIRegistrationService.ex     4828 Services                   0     13,824 K
svchost.exe                   4864 Services                   0     10,892 K
wslservice.exe                4880 Services                   0     25,596 K
